offline_datapoint_16 1619213667 8786,414
offline_datapoint_2 1619213667 936,866
offline_datapoint_14 1619213667 2,237
offline_datapoint_3 1619213667 21,997
offline_datapoint_26 1619213667 89,492
offline_datapoint_15 1619213667 3,000
offline_datapoint_8 1619213667 13529,212
offline_datapoint_20 1619213667 0,022
offline_datapoint_27 1619213672 682278,000
offline_datapoint_21 1619213672 3277,000
offline_datapoint_12 1619213672 585080832,000
offline_datapoint_0 1619213672 360038400,000
offline_datapoint_19 1619213672 8327081984,000
offline_datapoint_25 1619213672 390053888,000
offline_datapoint_11 1619213672 2815,000
offline_datapoint_5 1619213670 0,000
offline_datapoint_24 1619213670 253,975
offline_datapoint_7 1619213672 390053888,000
offline_datapoint_17 1619213670 0,000
offline_datapoint_6 1619213672 5790273536,000
offline_datapoint_23 1619213672 7400714240,000
offline_datapoint_22 1619213670 0,390
offline_datapoint_28 1619213670 12,270
offline_datapoint_10 1619213670 4,426
offline_datapoint_29 1619213670 4489,216
offline_datapoint_4 1619213672 0,000
offline_datapoint_16 1619213670 7212,942
offline_datapoint_2 1619213670 352,965
offline_datapoint_14 1619213670 0,620
offline_datapoint_3 1619213670 14,332
offline_datapoint_26 1619213670 90,264
offline_datapoint_15 1619213670 1,000
offline_datapoint_8 1619213670 8192,000
offline_datapoint_20 1619213670 0,006
offline_datapoint_27 1619213675 682278,000
offline_datapoint_21 1619213675 3276,000
offline_datapoint_12 1619213675 585084928,000
offline_datapoint_0 1619213675 360038400,000
offline_datapoint_19 1619213675 8327479296,000
offline_datapoint_25 1619213675 390496256,000
offline_datapoint_11 1619213675 2812,000
offline_datapoint_5 1619213673 0,000
offline_datapoint_24 1619213673 5264,065
offline_datapoint_7 1619213675 390496256,000
offline_datapoint_17 1619213673 0,000
offline_datapoint_6 1619213675 5790953472,000
offline_datapoint_23 1619213675 7409082368,000
offline_datapoint_22 1619213673 0,000
offline_datapoint_28 1619213673 11,799
offline_datapoint_10 1619213673 4,039
offline_datapoint_29 1619213673 4606,474
offline_datapoint_4 1619213675 0,000
offline_datapoint_16 1619213673 7301,865
offline_datapoint_2 1619213673 1052,413
offline_datapoint_14 1619213673 0,073
offline_datapoint_3 1619213673 1,334
offline_datapoint_26 1619213673 99,940
offline_datapoint_15 1619213673 0,333
offline_datapoint_8 1619213673 8192,000
offline_datapoint_20 1619213673 0,001
offline_datapoint_27 1619213678 682278,000
offline_datapoint_21 1619213678 3266,000
offline_datapoint_12 1619213678 585084928,000
offline_datapoint_0 1619213678 360054784,000
offline_datapoint_19 1619213678 8322850816,000
offline_datapoint_25 1619213678 390692864,000
